Site,Point,ReferenceMT,ReferenceMU,A_MT,A_MU,B_MT,B_MU,C_MT,C_MU,D_MT,D_MU,E_MT,E_MU,F_MT,F_MU,G_MT,G_MU,H_MT,H_MU,I_MT,I_MU,J_MT,J_MU,K_MT,K_MU
1,16,T2,C1,T2,C1,T2,C1,T2,C1,T2,C1,T2,C1,T2,C1,T2,C1,T2,C1,T2,C1,T2,C1,T2,C1
1,17,T35,C1,T4,C5,T4,C5,T40,C1,T35,C1,T40,C1,T32,C11,T35,C1,T32,C15,T32,C4,T35,C1,T32,C13
1,18,T2,C1,T2,C1,T2,C1,T2,C1,T2,C1,T2,C1,T2,C1,T2,C1,T2,C1,T2,C1,T2,C1,T2,C2
1,19,T2,C2,T2,C2,T2,C2,T2,C2,T2,C2,T2,C2,T2,C2,T4,C9,T2,C2,T2,C1,T2,C1,T2,C2
1,20,T4,C9,T4,C13,T4,C13,T4,C9,T4,C13,T4,C9,T4,C5,T4,C9,T4,C9,T4,C13,T4,C9,T4,C9
2,21,V11,C1,V1,C1,V1,C2,V1,C5,V1,C1,V1,C1,V1,C1,V1,C1,V11,C1,V1,C1,V11,C1,V1,C1
2,22,T2,C2,T2,C2,T2,C2,T2,C2,T2,C2,T2,C2,T2,C2,T2,C2,T2,C2,T2,C2,T2,C2,T2,C2
2,23,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1
2,24,T4,C9,T4,C5,T4,C9,T4,C13,T4,C9,T4,C9,T4,C9,T4,C9,T4,C9,T4,C9,T4,C9,T4,C9
2,25,V1,C1,V1,C5,V1,C5,V1,C1,V1,C1,V1,C2,V2,C1,V1,C2,V1,C6,V1,C6,V1,C6,V1,C1
2,26,V2,C1,V2,C1,V2,C1,V1,C5,V2,C1,V1,C5,V1,C2,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1
2,27,T4,C5,T4,C6,T4,C5,T4,C1,T4,C5,T4,C1,T4,C1,T4,C1,T4,C7,T4,C1,T4,C5,T4,C6
2,28,T4,C5,T4,C9,T4,C9,T4,C5,T4,C5,T4,C5,T4,C5,T4,C5,T4,C5,T4,C5,T4,C5,T4,C5
2,29,T4,C5,T4,C9,T4,C5,T4,C9,T4,C5,T4,C9,T4,C1,T4,C5,T4,C9,T4,C5,T4,C5,T4,C9
2,30,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,T4,C1
2,31,T4,C1,T4,C1,T4,C5,T4,C5,T4,C5,T4,C1,T4,C5,T4,C5,T4,C5,T4,C5,T4,C5,T4,C1
2,32,V2,C1,V2,C2,V2,C2,V2,C1,V2,C2,V2,C2,V2,C2,V2,C2,V2,C2,V2,C1,V2,C1,V2,C1
2,33,T4,C5,T4,C1,T4,C1,T4,C5,T4,C5,T4,C5,T4,C5,T4,C1,T4,C5,T4,C1,T4,C1,T4,C5
2,34,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2
2,35,T4,C9,T4,C5,T4,C5,T4,C9,T4,C9,T4,C9,T4,C5,T4,C5,T4,C9,T4,C9,T4,C9,T4,C9
2,36,T2,C2,T2,C2,T2,C2,T2,C2,T2,C2,T2,C2,T2,C2,T2,C2,T2,C2,T2,C2,T2,C2,T2,C2
2,37,T4,C9,T4,C5,T4,C5,T4,C9,T4,C5,T4,C9,T4,C9,T4,C9,T4,C9,T4,C5,T4,C9,T4,C9
2,38,T4,C13,T4,C9,T4,C9,T4,C13,T4,C13,T4,C9,T4,C9,T4,C9,T2,C2,T4,C9,T4,C9,T4,C13
2,39,T4,C5,T4,C5,T4,C1,T4,C5,T4,C9,T4,C5,T4,C9,T4,C5,T4,C5,T4,C5,T4,C5,T4,C5
2,40,T2,C2,T2,C2,T2,C2,T2,C2,T2,C2,T2,C2,T2,C2,T2,C2,T2,C2,T2,C2,T2,C2,T2,C2
3,41,T45,C1,T33,C1,T45,C1,V2,C8,T45,C2,V10,C1,V13,C2,V10,C2,T33,C2,T12,C2,T32,C4,T45,C2
3,42,T32,C15,T4,C10,T32,C13,T45,C1,T32,C13,T4,C4,T4,C3,T4,C3,T32,C5,T32,C5,T32,C5,T4,C7
3,43,T32,C4,T32,C5,T32,C4,T32,C3,T32,C4,T4,C7,T4,C3,T32,C3,T32,C3,T32,C3,T44,C1,T32,C3
